Optimization;Execution_Time
1;17.071934938430786
2;6.735165596008301
3;7.577607154846191
4;6.196209669113159
5;7.105313539505005
6;4.667217969894409
7;4.403209447860718
8;5.2949302196502686
9;5.731122255325317
10;6.739395380020142
