Optimization;Execution_Time
1;17.80420994758606
2;6.175706386566162
3;6.784289836883545
4;9.470004081726074
5;9.575336933135986
6;8.612070083618164
7;9.790530920028687
8;9.79210090637207
9;7.826261758804321
10;8.004875659942627
